_id,qId,qType,cSessionId,result
ObjectId(61a75752e3893d38a7e14b38),ObjectId(61a73d1a93c2eaef0dd5ecae),4,fb217b09-5641-4999-be03-389716429951,3
ObjectId(61a758a6e3893d38a7e14b39),ObjectId(61a73d1a93c2eaef0dd5ecbb),5,fb217b09-5641-4999-be03-389716429951,0
ObjectId(61a75992e3893d38a7e14b3c),ObjectId(61a73d1a93c2eaef0dd5ecb3),5,fb217b09-5641-4999-be03-389716429951,0
ObjectId(61a759bae3893d38a7e14b3d),ObjectId(61a73d1a93c2eaef0dd5ecbf),6,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75a4fe3893d38a7e14b3e),ObjectId(61a73d1a93c2eaef0dd5ecb4),4,ac02f318-ecad-4adc-858d-0af475b031f2,3
ObjectId(61a75a76e3893d38a7e14b3f),ObjectId(61a73d1a93c2eaef0dd5ecbe),6,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75af3e3893d38a7e14b40),ObjectId(61a73d1a93c2eaef0dd5ecb9),5,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75b43e3893d38a7e14b41),ObjectId(61a73d1a93c2eaef0dd5ecc0),6,ac02f318-ecad-4adc-858d-0af475b031f2,1
ObjectId(61a75b78e3893d38a7e14b42),ObjectId(61a73d1a93c2eaef0dd5ecc5),6,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75ba0e3893d38a7e14b43),ObjectId(61a73d1a93c2eaef0dd5ecc2),6,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75beee3893d38a7e14b44),ObjectId(61a73d1a93c2eaef0dd5ecb5),5,ac02f318-ecad-4adc-858d-0af475b031f2,1
ObjectId(61a75c52e3893d38a7e14b46),ObjectId(61a73d1a93c2eaef0dd5ecb6),4,ca312c83-89cd-453d-9afa-bfd5e472442d,3
ObjectId(61a75c72e3893d38a7e14b47),ObjectId(61a73d1a93c2eaef0dd5ecb6),4,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75c87e3893d38a7e14b48),ObjectId(61a73d1a93c2eaef0dd5ecaf),5,ca312c83-89cd-453d-9afa-bfd5e472442d,0
ObjectId(61a75c9be3893d38a7e14b49),ObjectId(61a73d1a93c2eaef0dd5ecc1),6,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75cede3893d38a7e14b4a),ObjectId(61a73d1a93c2eaef0dd5ecba),4,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75d43e3893d38a7e14b4b),ObjectId(61a73d1a93c2eaef0dd5ecb7),5,ac02f318-ecad-4adc-858d-0af475b031f2,3
ObjectId(61a75d7ce3893d38a7e14b4c),ObjectId(61a73d1a93c2eaef0dd5ecb2),4,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75daae3893d38a7e14b4d),ObjectId(61a73d1a93c2eaef0dd5ecbd),5,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75e22e3893d38a7e14b4e),ObjectId(61a73d1a93c2eaef0dd5ecb8),4,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75e6ae3893d38a7e14b4f),ObjectId(61a73d1a93c2eaef0dd5ecb0),4,ac02f318-ecad-4adc-858d-0af475b031f2,3
ObjectId(61a75ed7e3893d38a7e14b50),ObjectId(61a73d1a93c2eaef0dd5ecbc),4,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75f06e3893d38a7e14b51),ObjectId(61a73d1a93c2eaef0dd5ecc3),6,ac02f318-ecad-4adc-858d-0af475b031f2,2
ObjectId(61a75f55e3893d38a7e14b52),ObjectId(61a73d1a93c2eaef0dd5ecb1),5,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a75f83e3893d38a7e14b53),ObjectId(61a73d1a93c2eaef0dd5ecc4),6,ac02f318-ecad-4adc-858d-0af475b031f2,0
ObjectId(61a76004e3893d38a7e14b54),ObjectId(61a73d1a93c2eaef0dd5ecae),4,ac02f318-ecad-4adc-858d-0af475b031f2,2
